Q#,Graph,Question Type,Question,Answer
1,Line1,Comprehension,"At hour 6, what is the concentration of NMHC? Return only the number.",16
2,Line1,Comprehension,"At hour 8, what is the concentration of N.O2? Return only the number.",112
3,Line1,Comprehension,"At hour 10, what is the concentration of C6H6? Return only the number.",63
4,Line1,Comprehension,"At hour 12, what is the concentration of N.O2? Return only the number.",95
5,Line1,Comprehension,"At hour 14, what is the concentration of NMHC? Return only the number.",164
6,Line1,Comprehension,"At hour 16, what is the concentration of C6H6? Return only the number.",83
7,Line1,Comprehension,"At hour 17, what is the concentration of N.O2? Return only the number.",135
8,Line1,Comprehension,"At hour 19, what is the concentration of NMHC? Return only the number.",461
9,Line1,Comprehension,"At hour 21, what is the concentration of C6H6? Return only the number.",128
10,Line1,Comprehension,At what hour does the concentration of NMHC first reach 461? Return only the number.,19
11,Line1,Interpretation,Which gas has the highest concentration at hour 6? Return only the gas name.,N.O2
12,Line1,Interpretation,Which gas has the lowest concentration at hour 7? Return only the gas name.,NMHC
13,Line1,Interpretation,Which gas has the highest concentration at hour 9? Return only the gas name.,N.O2
14,Line1,Interpretation,Which gas has the lowest concentration at hour 11? Return only the gas name.,NMHC
15,Line1,Interpretation,Which gas has the highest concentration at hour 13? Return only the gas name.,N.02
16,Line1,Interpretation,Which gas has the lowest concentration at hour 15 between C6H6 and N.O2? Return only the gas name.,C6H6
17,Line1,Interpretation,Which gas has the highest concentration at hour 17? Return only the gas name.,NMHC
18,Line1,Interpretation,Which gas has the lowest concentration at hour 18? Return only the gas name.,N.O2
19,Line1,Interpretation,Which gas has the highest concentration at hour 19 between C6H6 and N.O2? Return only the gas name.,C6H6
20,Line1,Interpretation,Which gas has the lowest concentration at hour 21? Return only the gas name.,C6H6
21,Line1,Extrapolation,"Using your best estimate, with the data trends in this graph, what do you predict would be the concentration of NMHC at hour 5? Return only the number.",3
22,Line1,Extrapolation,"Using your best estimate, with the data trends in this graph, what do you predict would be the concentration of C6H6 at hour 5? Return only the number.",0
23,Line1,Extrapolation,"Using your best estimate, with the data trends in this graph, what do you predict would be the concentration of N.O2 at hour 5? Return only the number.",14
24,Line1,Extrapolation,"Using your best estimate, with the data trends in this graph, what do you predict would be the concentration of NMHC at hour 4? Return only the number.",-10
25,Line1,Extrapolation,"Using your best estimate, with the data trends in this graph, what do you predict would be the concentration of C6H6 at hour 4? Return only the number.",-16
